A1,A2,A3,A4,A5,A6,A7,ranking,a,b,c,d,e,f,g
0.8000550000000001,-1.7366169999999999,-0.839575,-0.6549010000000001,-0.7371979999999999,-0.9162239999999999,-0.682176,b>e>c>f>d>a>g,5.0,0.0,2.0,4.0,1.0,3.0,6.0
1.561952,-1.81597,-0.193078,0.5736479999999999,0.20894899999999997,-0.856916,-0.886199,d>f>g>b>a>c>e,4.0,3.0,5.0,0.0,6.0,1.0,2.0
-0.744758,-1.81597,-0.848082,-1.064418,-1.642207,-0.595958,-0.431783,d>c>b>a>e>f>g,3.0,2.0,1.0,0.0,4.0,5.0,6.0
1.0259969999999998,-1.498561,0.198223,0.5736479999999999,-0.243556,0.115746,-0.57089,f>a>b>e>g>d>c,1.0,2.0,6.0,5.0,3.0,0.0,4.0
-1.1335879999999998,-1.6572650000000002,0.18120999999999998,0.300637,-1.47766,-0.41803199999999996,0.690345,c>b>d>a>e>f>g,3.0,1.0,0.0,2.0,4.0,5.0,6.0
-0.28236500000000003,-1.6572650000000002,1.0658889999999999,1.256176,0.414633,0.436013,0.171013,d>c>b>e>a>f>g,4.0,2.0,1.0,0.0,3.0,5.0,6.0
-0.035405,-1.498561,0.070625,-0.10887899999999999,-0.654924,0.5071829999999999,-0.17211700000000002,a>d>c>e>b>f>g,0.0,4.0,2.0,1.0,3.0,5.0,6.0
0.779037,-1.577913,-0.099506,0.641901,-0.07900900000000001,-0.14521199999999998,-0.376141,g>c>f>b>d>a>e,5.0,3.0,1.0,4.0,6.0,2.0,0.0
1.8089119999999999,-1.577913,0.410886,1.051417,0.044402,0.00899,-0.9325680000000001,f>e>b>d>a>g>c,4.0,2.0,6.0,3.0,1.0,0.0,5.0
0.873617,-1.7366169999999999,0.657576,0.9149120000000001,1.689874,-0.14521199999999998,-0.366867,c>d>e>g>b>f>a,6.0,4.0,0.0,1.0,2.0,5.0,3.0
1.4411,-1.498561,0.24926199999999998,1.187923,0.20894899999999997,0.080161,-0.830556,d>c>f>g>e>b>a,6.0,5.0,1.0,0.0,4.0,2.0,3.0
1.346519,-1.419208,1.2615399999999999,1.5974389999999998,0.57918,0.329257,-0.15357,d>e>b>a>g>f>c,3.0,2.0,6.0,0.0,1.0,5.0,4.0
-0.224566,-1.0224469999999999,0.053611,-0.17713199999999998,0.167812,0.139469,-0.088653,b>a>e>f>c>g>d,1.0,0.0,4.0,6.0,2.0,3.0,5.0
-0.266602,-1.181152,0.895759,0.300637,0.57918,0.38856599999999997,0.857274,e>f>b>a>c>g>d,3.0,2.0,4.0,6.0,0.0,1.0,5.0
-0.376945,-0.784391,0.30030100000000004,-0.17713199999999998,1.031685,0.056437,0.356489,b>e>f>c>a>d>g,4.0,0.0,3.0,5.0,1.0,2.0,6.0
-0.22981999999999997,-0.784391,-0.550353,-1.132671,-0.654924,-0.204521,0.022632,b>c>a>e>d>f>g,2.0,0.0,1.0,4.0,3.0,5.0,6.0
-1.170369,-0.863743,0.5725100000000001,0.232384,0.373496,0.127608,0.356489,e>f>b>c>a>d>g,4.0,2.0,3.0,5.0,0.0,1.0,6.0
-0.461017,-1.0224469999999999,1.031863,0.232384,1.689874,0.803726,0.45850100000000005,e>f>b>g>a>d>c,4.0,2.0,6.0,5.0,0.0,1.0,3.0
0.348171,-1.339856,0.164196,-0.6549010000000001,0.0032649999999999997,0.708832,-0.274129,e>b>f>a>g>c>d,3.0,1.0,5.0,6.0,0.0,2.0,4.0
0.285117,-0.9430950000000001,1.116929,0.9149120000000001,0.826001,0.637662,0.736714,e>a>b>c>f>d>g,1.0,2.0,3.0,5.0,0.0,4.0,6.0
-0.024896,-1.339856,0.002572,-0.586649,0.45577,0.293672,0.31012,f>b>a>g>e>c>d,2.0,1.0,5.0,6.0,4.0,0.0,3.0
0.442751,-1.339856,0.7341340000000001,-0.10887899999999999,1.3607790000000002,1.254472,0.57906,f>g>d>c>b>a>e,5.0,4.0,3.0,2.0,6.0,0.0,1.0
0.395461,-1.101799,-1.315941,-0.518396,-1.683344,-1.758407,-1.498269,b>d>a>c>f>e>g,2.0,0.0,3.0,1.0,5.0,4.0,6.0
0.148501,-1.0224469999999999,-1.0267190000000002,-0.040626999999999996,-1.0251549999999998,-1.675375,-1.164413,d>e>b>a>f>c>g,3.0,2.0,5.0,0.0,1.0,4.0,6.0
0.5898760000000001,-1.339856,-0.9416530000000001,-0.6549010000000001,-1.436523,-1.260214,-1.507543,d>b>f>e>a>g>c,4.0,1.0,6.0,0.0,3.0,2.0,5.0
1.866711,-1.419208,-0.6694439999999999,0.36889,-0.942882,-1.331385,-1.192234,f>d>a>g>c>e>b,2.0,6.0,4.0,1.0,5.0,0.0,3.0
1.341265,-0.863743,-1.6136700000000002,-0.723154,-0.7371979999999999,-1.450002,-1.665197,f>d>e>b>c>g>a,6.0,3.0,4.0,1.0,2.0,0.0,5.0
-0.461017,-1.101799,-1.052238,-0.723154,0.332359,-0.40617,-0.357593,b>a>e>f>c>d>g,1.0,0.0,4.0,5.0,2.0,3.0,6.0
1.861457,-1.419208,-1.554124,-1.473935,-0.654924,-0.868777,-1.730114,f>e>d>g>a>c>b,4.0,6.0,5.0,2.0,1.0,0.0,3.0
1.230921,-1.260504,-0.618405,-0.31363800000000003,-0.531514,-0.40617,-0.83983,b>a>d>g>e>f>c,1.0,0.0,6.0,2.0,4.0,5.0,3.0
0.842091,-1.0224469999999999,0.104651,0.983165,0.291222,-0.038456,-0.357593,d>g>e>c>a>b>f,4.0,5.0,3.0,0.0,2.0,6.0,1.0
1.609242,-1.260504,-0.635418,0.300637,-0.284693,-0.868777,-0.747092,a>c>b>g>e>d>f,0.0,2.0,1.0,5.0,4.0,6.0,3.0
0.8578540000000001,-1.419208,-0.371715,0.300637,0.044402,-0.9280860000000001,-1.2478770000000001,d>f>g>b>a>c>e,4.0,3.0,5.0,0.0,6.0,1.0,2.0
-0.28236500000000003,-0.308277,1.3466049999999998,0.232384,0.743727,1.290057,0.736714,c>e>b>f>d>a>g,5.0,2.0,0.0,4.0,1.0,3.0,6.0
-1.538182,-0.308277,2.324857,0.9149120000000001,1.689874,1.918728,2.137057,a>b>c>d>e>g>f,0.0,1.0,2.0,3.0,4.0,6.0,5.0
-2.389405,0.32654099999999997,0.436406,-1.4056819999999999,0.167812,2.096654,1.905212,a>f>b>e>c>d>g,0.0,2.0,4.0,5.0,3.0,1.0,6.0
-0.6186510000000001,-0.387629,0.79368,-0.040626999999999996,0.20894899999999997,0.673247,0.77381,f>e>a>g>b>c>d,2.0,4.0,5.0,6.0,1.0,0.0,3.0
-1.102061,0.405893,0.606536,-0.518396,1.689874,0.566492,0.57906,b>g>c>d>f>a>e,5.0,0.0,2.0,3.0,6.0,4.0,1.0
-1.8587040000000001,0.08848400000000001,6.268488,0.5736479999999999,5.433323000000001,4.19618,5.151039,a>b>c>e>d>g>f,0.0,1.0,2.0,4.0,3.0,6.0,5.0
-1.564454,0.405893,0.8192,-0.8596600000000001,0.908275,1.6577709999999999,1.441522,f>c>d>e>a>b>g,4.0,5.0,1.0,2.0,3.0,0.0,6.0
-1.779887,0.009132,2.852262,-0.38189,2.142379,3.2591040000000002,3.120079,a>g>b>d>f>e>c,0.0,2.0,6.0,3.0,5.0,4.0,1.0
-1.60649,-0.07022,0.887252,-11.097572999999999,-0.57265,0.613939,1.089118,a>b>c>e>d>f>g,0.0,1.0,2.0,4.0,3.0,5.0,6.0
-1.4541110000000002,0.247189,1.295566,-0.040626999999999996,-0.284693,1.479845,1.72901,a>b>e>d>c>f>g,0.0,1.0,4.0,3.0,2.0,5.0,6.0
-1.5066549999999999,-0.308277,1.125435,0.36889,1.4430530000000001,0.685109,1.089118,f>e>b>a>c>g>d,3.0,2.0,4.0,6.0,1.0,0.0,5.0
1.3570280000000001,-0.46698199999999995,-1.8263330000000002,-0.586649,-2.670627,-1.865162,-1.535364,d>c>a>b>e>g>f,2.0,3.0,1.0,0.0,4.0,6.0,5.0
0.6003850000000001,-0.149573,-0.49931400000000004,0.846659,-0.942882,-0.5010640000000001,-1.025306,d>g>c>b>a>f>e,4.0,3.0,2.0,0.0,6.0,5.0,1.0
0.978707,-0.387629,-1.545618,-0.723154,-1.8067549999999999,-1.497449,-1.748662,d>g>b>f>e>a>c,5.0,2.0,6.0,0.0,4.0,3.0,1.0
0.574113,-0.46698199999999995,-1.035225,0.300637,-1.395386,-1.307661,-1.210782,g>c>d>f>a>e>b,4.0,6.0,1.0,2.0,5.0,3.0,0.0
0.642421,0.009132,-1.4690590000000001,-0.450143,-2.1358490000000003,-1.011118,-0.8491040000000001,e>c>a>b>d>f>g,2.0,3.0,1.0,4.0,0.0,5.0,6.0
1.824675,0.16783599999999999,-1.749775,-0.9279120000000001,-1.642207,-2.066812,-2.054697,d>f>g>b>c>a>e,5.0,3.0,4.0,0.0,6.0,1.0,2.0
1.0522690000000001,0.16783599999999999,-0.7034699999999999,0.5736479999999999,-1.271976,-1.260214,-0.5430689999999999,a>d>c>g>b>f>e,0.0,4.0,2.0,1.0,6.0,5.0,3.0
1.493644,-0.387629,-1.349967,-0.31363800000000003,-1.518797,-1.378832,-1.359162,g>d>a>f>b>c>e,2.0,4.0,5.0,1.0,6.0,3.0,0.0
1.320247,0.485245,-1.41802,-0.6549010000000001,-0.613787,-1.319523,-0.9789370000000001,e>d>f>g>a>b>c,4.0,5.0,6.0,1.0,0.0,2.0,3.0
1.53568,0.32654099999999997,-0.8906139999999999,0.9149120000000001,-1.189702,-0.892501,-1.201508,e>g>d>c>f>a>b,5.0,6.0,3.0,2.0,0.0,4.0,1.0
1.840439,-0.228925,-1.452046,-0.723154,-0.07900900000000001,-1.568619,-1.386984,g>d>f>b>e>c>a,6.0,3.0,5.0,1.0,4.0,2.0,0.0
-0.43474399999999996,0.723302,0.649069,0.5053949999999999,0.784864,0.803726,0.690345,e>f>g>a>c>b>d,3.0,5.0,4.0,6.0,0.0,1.0,2.0
-0.166767,1.0407110000000002,0.087638,-0.586649,0.45577,-0.09776499999999999,0.671798,b>c>a>g>e>f>d,2.0,0.0,1.0,6.0,4.0,5.0,3.0
-1.049517,1.35812,0.759654,-0.17713199999999998,1.031685,1.266334,1.0798450000000002,e>f>g>a>c>b>d,3.0,5.0,4.0,6.0,0.0,1.0,2.0
-1.448856,0.723302,0.802187,0.164132,1.031685,1.728941,1.181856,f>g>b>e>c>d>a,6.0,2.0,4.0,5.0,3.0,0.0,1.0
-0.660686,1.2787680000000001,0.028092000000000002,-1.200923,0.167812,0.47159799999999996,0.532691,e>f>g>b>a>d>c,4.0,3.0,6.0,5.0,0.0,1.0,2.0
-0.8393379999999999,1.35812,1.2615399999999999,0.846659,1.401916,1.361227,1.1354870000000001,g>f>e>c>a>b>d,4.0,5.0,3.0,6.0,2.0,1.0,0.0
-1.254441,0.882006,-0.005934,-0.450143,-0.9840180000000001,0.246225,0.19883399999999998,f>b>a>g>e>c>d,2.0,1.0,5.0,6.0,4.0,0.0,3.0
-1.354276,0.723302,0.48744499999999996,0.027625999999999998,0.0032649999999999997,0.803726,0.912916,g>f>c>b>d>e>a,6.0,3.0,2.0,4.0,5.0,1.0,0.0
