A1,A2,A3,A4,ranking,a,b,c,d
-1.327803,1.0525229999999999,0.9821190000000001,-0.8048,d>a>b>c,1.0,2.0,3.0,0.0
-1.322812,1.043159,-0.607004,2.045841,d>c>a>b,2.0,3.0,1.0,0.0
-1.332794,1.038478,1.856137,-0.535733,d>b>a>c,2.0,1.0,3.0,0.0
-1.337785,1.038478,1.856137,-0.624199,d>a>c>b,1.0,3.0,2.0,0.0
-1.337785,1.038478,1.856137,-0.46239300000000005,d>a>c>b,1.0,3.0,2.0,0.0
-1.337785,1.038478,1.856137,-0.7869229999999999,d>a>c>b,1.0,3.0,2.0,0.0
-1.337785,1.033796,1.856137,-0.046187,c>d>a>b,2.0,3.0,0.0,1.0
-1.337785,1.033796,1.856137,0.214629,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.033796,1.061575,-0.03702,a>c>b>d,0.0,2.0,1.0,3.0
-1.337785,1.033796,1.856137,0.41860600000000003,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.038478,1.856137,-0.198827,a>c>d>b,0.0,3.0,1.0,2.0
-1.342777,1.038478,1.856137,0.397521,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.038478,1.856137,-0.066356,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.033796,1.856137,-0.889141,d>a>c>b,1.0,3.0,2.0,0.0
-1.342777,1.038478,1.856137,0.003317,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.038478,1.697224,-0.694789,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.038478,1.856137,-0.307003,c>a>b>d,1.0,2.0,0.0,3.0
-1.347768,1.038478,1.856137,-0.645285,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.033796,1.697224,-0.181867,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.033796,1.856137,-0.519231,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.038478,0.9026629999999999,-0.86393,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.038478,1.061575,-0.456892,c>a>b>d,1.0,2.0,0.0,3.0
-1.347768,1.033796,1.856137,-0.091567,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.033796,1.856137,-0.434432,c>a>b>d,1.0,2.0,0.0,3.0
-1.347768,1.033796,1.856137,-0.18874200000000002,c>a>b>d,1.0,2.0,0.0,3.0
-1.352759,1.038478,0.9821190000000001,-0.962939,d>b>a>c,2.0,1.0,3.0,0.0
-1.352759,1.038478,1.617768,-0.690206,c>a>b>d,1.0,2.0,0.0,3.0
-1.352759,1.038478,1.856137,-0.338173,c>a>b>d,1.0,2.0,0.0,3.0
-1.352759,1.033796,1.697224,-0.253832,c>a>b>d,1.0,2.0,0.0,3.0
-1.352759,1.033796,1.856137,-0.874014,a>c>b>d,0.0,2.0,1.0,3.0
-1.352759,1.033796,1.617768,-0.329922,a>c>b>d,0.0,2.0,1.0,3.0
-1.352759,1.033796,1.856137,-0.22128699999999998,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.033796,1.5383120000000001,-0.32717199999999996,a>b>c>d,0.0,1.0,2.0,3.0
-1.347768,1.0291139999999999,1.617768,-0.449558,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.0291139999999999,1.77668,0.013402,c>a>b>d,1.0,2.0,0.0,3.0
-1.347768,1.0291139999999999,1.617768,-0.6512439999999999,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.0291139999999999,1.5383120000000001,-0.38401,a>c>b>d,0.0,2.0,1.0,3.0
-1.352759,1.0291139999999999,1.856137,-0.515564,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.0291139999999999,1.856137,-0.534358,d>a>c>b,1.0,3.0,2.0,0.0
-1.342777,1.0291139999999999,1.856137,-0.0934,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.0291139999999999,1.856137,-0.444974,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.0291139999999999,1.77668,-0.779131,a>c>b>d,0.0,2.0,1.0,3.0
-1.342777,1.033796,1.617768,-0.8813479999999999,a>c>b>d,0.0,2.0,1.0,3.0
-1.342777,1.033796,1.856137,-0.772713,d>c>a>b,2.0,3.0,1.0,0.0
-1.342777,1.0291139999999999,1.856137,-0.546734,d>a>c>b,1.0,3.0,2.0,0.0
-1.342777,1.0291139999999999,1.856137,-0.4491,a>c>b>d,0.0,2.0,1.0,3.0
-1.342777,1.0291139999999999,1.697224,-0.692497,c>a>b>d,1.0,2.0,0.0,3.0
-1.347768,1.024432,1.141031,-0.746586,a>c>b>d,0.0,2.0,1.0,3.0
-1.342777,1.024432,0.9026629999999999,-0.9221440000000001,a>b>c>d,0.0,1.0,2.0,3.0
-1.347768,1.024432,0.9026629999999999,-0.774547,c>a>b>d,1.0,2.0,0.0,3.0
-1.347768,1.024432,-0.607004,-0.797466,c>a>b>d,1.0,2.0,0.0,3.0
-1.347768,1.024432,1.141031,-0.35192399999999996,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.024432,0.9821190000000001,0.268259,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.024432,1.856137,-0.46101800000000004,a>b>c>d,0.0,1.0,2.0,3.0
-1.352759,1.024432,1.856137,-0.671871,b>c>a>d,2.0,0.0,1.0,3.0
-1.352759,1.024432,1.856137,-0.775005,a>c>b>d,0.0,2.0,1.0,3.0
-1.352759,1.024432,1.856137,-0.6407010000000001,a>c>b>d,0.0,2.0,1.0,3.0
-1.352759,1.024432,1.856137,-0.525649,a>b>c>d,0.0,1.0,2.0,3.0
-1.352759,1.024432,1.856137,-0.572403,b>a>c>d,1.0,0.0,2.0,3.0
-1.35775,1.024432,-2.1166709999999997,-1.1357469999999998,d>c>a>b,2.0,3.0,1.0,0.0
-1.35775,1.0291139999999999,1.856137,-0.694331,d>b>a>c,2.0,1.0,3.0,0.0
-1.35775,1.024432,1.617768,-1.14629,d>b>a>c,2.0,1.0,3.0,0.0
-1.35775,1.019751,1.697224,-0.8598049999999999,a>b>c>d,0.0,1.0,2.0,3.0
-1.362741,1.019751,1.856137,-0.6471180000000001,a>b>c>d,0.0,1.0,2.0,3.0
-1.362741,1.019751,1.5383120000000001,-0.828635,d>a>b>c,1.0,2.0,3.0,0.0
-1.362741,1.019751,1.856137,-0.745211,b>a>c>d,1.0,0.0,2.0,3.0
-1.362741,1.019751,1.5383120000000001,-0.541233,a>c>b>d,0.0,2.0,1.0,3.0
-1.35775,1.015069,1.856137,-0.737418,d>a>b>c,1.0,2.0,3.0,0.0
-1.362741,1.019751,1.856137,-0.9459790000000001,b>a>d>c,1.0,0.0,3.0,2.0
-1.35775,1.019751,1.3794,0.075741,b>c>a>d,2.0,0.0,1.0,3.0
-1.35775,1.019751,-0.209723,-0.856138,b>a>c>d,1.0,0.0,2.0,3.0
-1.35775,1.019751,1.3794,-0.7795890000000001,a>c>b>d,0.0,2.0,1.0,3.0
-1.35775,1.019751,1.617768,-0.8213010000000001,b>a>c>d,1.0,0.0,2.0,3.0
-1.35775,1.019751,1.3794,-1.2026700000000001,b>a>c>d,1.0,0.0,2.0,3.0
-1.35775,1.019751,-0.6864600000000001,-0.825427,d>a>c>b,1.0,3.0,2.0,0.0
-1.352759,1.019751,-0.9248290000000001,-0.641159,c>a>b>d,1.0,2.0,0.0,3.0
-1.352759,1.019751,0.584838,0.12753699999999998,a>c>b>d,0.0,2.0,1.0,3.0
-1.352759,1.019751,-0.765917,-0.654911,b>a>c>d,1.0,0.0,2.0,3.0
-1.35775,1.019751,-0.448092,-0.408304,b>a>c>d,1.0,0.0,2.0,3.0
-1.352759,1.015069,0.74375,-0.894641,a>c>b>d,0.0,2.0,1.0,3.0
-1.352759,1.019751,-0.9248290000000001,-0.7846310000000001,c>a>b>d,1.0,2.0,0.0,3.0
-1.347768,1.019751,1.856137,-1.111911,b>a>c>d,1.0,0.0,2.0,3.0
-1.352759,1.019751,1.856137,-1.052323,a>c>b>d,0.0,2.0,1.0,3.0
-1.352759,1.019751,1.856137,-1.0312370000000002,a>c>b>d,0.0,2.0,1.0,3.0
-1.352759,1.019751,0.505382,-0.77363,a>b>c>d,0.0,1.0,2.0,3.0
-1.352759,1.019751,1.856137,-0.8538459999999999,d>b>a>c,2.0,1.0,3.0,0.0
-1.347768,1.019751,0.9026629999999999,-0.8048,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.019751,-1.4810219999999998,-0.807091,c>a>b>d,1.0,2.0,0.0,3.0
-1.347768,1.015069,-1.4810219999999998,-1.1600409999999999,b>a>c>d,1.0,0.0,2.0,3.0
-1.347768,1.015069,1.856137,-1.094035,b>c>a>d,2.0,0.0,1.0,3.0
-1.347768,1.015069,-1.004285,-0.752545,a>c>b>d,0.0,2.0,1.0,3.0
-1.352759,1.015069,1.856137,-1.10962,b>a>c>d,1.0,0.0,2.0,3.0
-1.352759,1.015069,1.856137,-1.164166,b>a>c>d,1.0,0.0,2.0,3.0
-1.347768,1.0103870000000001,-0.130267,-0.724584,a>c>b>d,0.0,2.0,1.0,3.0
-1.347768,1.015069,0.823207,-0.42205600000000004,a>c>b>d,0.0,2.0,1.0,3.0
-1.342777,1.015069,0.584838,1.234515,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.024432,0.187557,0.898525,a>c>b>d,0.0,2.0,1.0,3.0
-1.342777,1.019751,0.028645,-1.0546149999999999,d>a>c>b,1.0,3.0,2.0,0.0
-1.342777,1.024432,-0.5275479999999999,0.47957,c>a>b>d,1.0,2.0,0.0,3.0
-1.342777,1.024432,0.6642939999999999,0.457109,a>c>b>d,0.0,2.0,1.0,3.0
-1.337785,1.019751,0.028645,0.9260280000000001,a>c>b>d,0.0,2.0,1.0,3.0
-1.337785,1.019751,-0.050811,1.45316,c>a>b>d,1.0,2.0,0.0,3.0
-1.337785,1.019751,0.823207,-0.816717,d>a>c>b,1.0,3.0,2.0,0.0
-1.337785,1.019751,1.856137,-0.22036999999999998,a>c>b>d,0.0,2.0,1.0,3.0
-1.342777,1.019751,0.425926,1.482955,c>a>b>d,1.0,2.0,0.0,3.0
-1.332794,1.024432,1.856137,-0.5164810000000001,d>b>c>a,3.0,1.0,2.0,0.0
-1.332794,1.019751,1.856137,-0.279501,c>a>d>b,1.0,3.0,0.0,2.0
-1.337785,1.019751,1.856137,-0.402346,a>c>d>b,0.0,3.0,1.0,2.0
-1.332794,1.024432,1.856137,0.387436,c>a>b>d,1.0,2.0,0.0,3.0
-1.337785,1.024432,-0.050811,0.32143,c>a>b>d,1.0,2.0,0.0,3.0
-1.337785,1.024432,1.856137,-0.555443,d>a>c>b,1.0,3.0,2.0,0.0
-1.337785,1.024432,0.267013,0.537784,c>a>b>d,1.0,2.0,0.0,3.0
-1.337785,1.024432,-0.209723,0.60654,c>a>b>d,1.0,2.0,0.0,3.0
-1.337785,1.0291139999999999,1.856137,-0.11906900000000001,c>a>d>b,1.0,3.0,0.0,2.0
-1.337785,1.0291139999999999,0.505382,-0.46881000000000006,c>d>a>b,2.0,3.0,0.0,1.0
-1.337785,1.0291139999999999,1.856137,-0.621908,d>c>a>b,2.0,3.0,1.0,0.0
-1.337785,1.0291139999999999,-0.050811,1.0937940000000002,c>a>b>d,1.0,2.0,0.0,3.0
-1.337785,1.0291139999999999,1.856137,0.712425,c>a>b>d,1.0,2.0,0.0,3.0
-1.327803,1.033796,1.697224,-0.055354999999999994,d>a>c>b,1.0,3.0,2.0,0.0
-1.327803,1.033796,1.458856,0.247173,d>c>a>b,2.0,3.0,1.0,0.0
-1.332794,1.0291139999999999,0.9821190000000001,-0.027393999999999998,d>a>c>b,1.0,3.0,2.0,0.0
-1.332794,1.038478,0.6642939999999999,-1.055073,d>a>b>c,1.0,2.0,3.0,0.0
-1.327803,1.038478,1.856137,0.075282,d>c>a>b,2.0,3.0,1.0,0.0
-1.332794,1.033796,1.856137,0.409438,d>c>a>b,2.0,3.0,1.0,0.0
-1.332794,1.038478,1.856137,-0.010892,d>c>a>b,2.0,3.0,1.0,0.0
-1.322812,1.038478,-0.050811,1.215263,a>c>d>b,0.0,3.0,1.0,2.0
-1.322812,1.033796,1.697224,0.137163,d>c>a>b,2.0,3.0,1.0,0.0
-1.317821,1.033796,1.220487,0.361309,d>c>a>b,2.0,3.0,1.0,0.0
-1.317821,1.0291139999999999,0.9026629999999999,1.079584,d>c>a>b,2.0,3.0,1.0,0.0
-1.312829,1.033796,0.108101,-0.194701,d>c>a>b,2.0,3.0,1.0,0.0
-1.317821,1.033796,0.425926,0.184376,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.033796,-0.8453729999999999,-0.46697700000000003,d>a>b>c,1.0,2.0,3.0,0.0
-1.312829,1.033796,0.505382,0.105077,d>c>a>b,2.0,3.0,1.0,0.0
-1.317821,1.0291139999999999,0.425926,1.113504,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.0291139999999999,-0.050811,-0.600364,d>c>a>b,2.0,3.0,1.0,0.0
-1.312829,1.0291139999999999,-0.209723,-0.479811,d>a>c>b,1.0,3.0,2.0,0.0
-1.3078379999999998,1.0291139999999999,0.028645,-0.387219,d>c>a>b,2.0,3.0,1.0,0.0
-1.3078379999999998,1.024432,0.267013,-0.367051,d>c>a>b,2.0,3.0,1.0,0.0
-1.312829,1.024432,0.6642939999999999,-0.644826,d>c>a>b,2.0,3.0,1.0,0.0
-1.312829,1.024432,0.823207,0.519907,d>c>a>b,2.0,3.0,1.0,0.0
-1.3028469999999999,1.019751,0.108101,-1.074325,d>b>c>a,3.0,1.0,2.0,0.0
-1.317821,1.024432,1.856137,-0.119528,d>c>a>b,2.0,3.0,1.0,0.0
-1.312829,1.019751,1.299943,0.150456,d>c>a>b,2.0,3.0,1.0,0.0
-1.317821,1.015069,1.697224,0.090409,a>c>b>d,0.0,2.0,1.0,3.0
-1.317821,1.015069,0.74375,-0.174991,a>c>d>b,0.0,3.0,1.0,2.0
-1.317821,1.019751,1.856137,-0.5714859999999999,d>c>a>b,2.0,3.0,1.0,0.0
-1.322812,1.019751,1.856137,-0.304711,d>a>c>b,1.0,3.0,2.0,0.0
-1.322812,1.015069,1.856137,-0.20753600000000003,c>a>b>d,1.0,2.0,0.0,3.0
-1.322812,1.015069,1.856137,-0.160323,c>a>b>d,1.0,2.0,0.0,3.0
-1.322812,1.015069,1.856137,0.039070999999999995,d>c>a>b,2.0,3.0,1.0,0.0
-1.322812,1.019751,1.856137,-0.280417,d>c>a>b,2.0,3.0,1.0,0.0
-1.322812,1.019751,1.856137,0.14128800000000002,d>c>a>b,2.0,3.0,1.0,0.0
-1.327803,1.015069,1.856137,-0.276292,c>a>d>b,1.0,3.0,0.0,2.0
-1.327803,1.019751,1.856137,-0.551318,d>b>a>c,2.0,1.0,3.0,0.0
-1.322812,1.019751,1.856137,0.133496,d>c>a>b,2.0,3.0,1.0,0.0
-1.327803,1.019751,1.856137,-0.14703,d>b>a>c,2.0,1.0,3.0,0.0
-1.332794,1.019751,1.856137,-0.069106,d>b>c>a,3.0,1.0,2.0,0.0
-1.332794,1.019751,1.856137,-0.5251899999999999,d>c>b>a,3.0,2.0,1.0,0.0
-1.327803,1.019751,1.856137,0.0817,d>c>a>b,2.0,3.0,1.0,0.0
-1.332794,1.019751,1.856137,-0.24879,a>c>b>d,0.0,2.0,1.0,3.0
-1.332794,1.015069,1.856137,-0.801133,c>a>d>b,1.0,3.0,0.0,2.0
-1.337785,1.015069,1.856137,-0.25154,c>a>b>d,1.0,2.0,0.0,3.0
-1.332794,1.019751,1.856137,-0.056272,c>a>d>b,1.0,3.0,0.0,2.0
-1.337785,1.019751,1.3794,0.273301,a>c>b>d,0.0,2.0,1.0,3.0
-1.337785,1.015069,1.061575,0.680339,c>a>b>d,1.0,2.0,0.0,3.0
-1.337785,1.015069,1.141031,-0.12457,a>c>b>d,0.0,2.0,1.0,3.0
-1.337785,1.015069,0.9821190000000001,-0.533899,a>c>b>d,0.0,2.0,1.0,3.0
-1.337785,1.015069,0.028645,-0.076899,a>c>b>d,0.0,2.0,1.0,3.0
-1.332794,1.0103870000000001,-0.130267,-0.46010100000000004,a>c>b>d,0.0,2.0,1.0,3.0
-1.337785,1.0103870000000001,1.299943,-0.389511,b>a>c>d,1.0,0.0,2.0,3.0
-1.337785,1.0103870000000001,1.697224,-0.919852,b>d>c>a,3.0,0.0,2.0,1.0
-1.337785,1.0103870000000001,1.856137,-0.5944050000000001,b>a>c>d,1.0,0.0,2.0,3.0
-1.337785,1.015069,0.584838,-0.43901599999999996,b>a>c>d,1.0,0.0,2.0,3.0
-1.337785,1.015069,1.141031,-0.133737,c>a>b>d,1.0,2.0,0.0,3.0
-1.332794,1.015069,1.856137,-0.751628,b>c>a>d,2.0,0.0,1.0,3.0
-1.332794,1.015069,1.856137,-0.478894,b>a>c>d,1.0,0.0,2.0,3.0
-1.332794,1.015069,1.856137,-0.48118599999999995,a>b>c>d,0.0,1.0,2.0,3.0
-1.332794,1.015069,1.458856,-0.270333,c>a>b>d,1.0,2.0,0.0,3.0
-1.327803,1.015069,1.856137,-0.661786,b>a>c>d,1.0,0.0,2.0,3.0
-1.332794,1.015069,1.856137,-0.38171900000000003,b>c>a>d,2.0,0.0,1.0,3.0
-1.332794,1.015069,1.617768,0.092701,a>c>b>d,0.0,2.0,1.0,3.0
-1.327803,1.015069,1.856137,-0.8492620000000001,c>b>a>d,2.0,1.0,0.0,3.0
-1.327803,1.015069,1.77668,-0.479353,c>a>b>d,1.0,2.0,0.0,3.0
-1.327803,1.015069,1.697224,-0.407846,a>c>b>d,0.0,2.0,1.0,3.0
-1.327803,1.015069,1.856137,-0.6342840000000001,b>a>c>d,1.0,0.0,2.0,3.0
-1.327803,1.0103870000000001,1.141031,1.525125,b>a>c>d,1.0,0.0,2.0,3.0
-1.327803,1.0103870000000001,1.856137,-0.390886,b>c>a>d,2.0,0.0,1.0,3.0
-1.327803,1.0103870000000001,0.108101,-0.750253,b>c>a>d,2.0,0.0,1.0,3.0
-1.332794,1.0103870000000001,0.823207,-0.534816,b>a>c>d,1.0,0.0,2.0,3.0
-1.332794,1.0103870000000001,1.458856,-0.579279,b>a>c>d,1.0,0.0,2.0,3.0
-1.332794,1.0103870000000001,1.856137,-0.899225,d>b>a>c,2.0,1.0,3.0,0.0
-1.332794,1.0103870000000001,1.141031,-0.462851,b>c>a>d,2.0,0.0,1.0,3.0
-1.337785,1.0103870000000001,1.77668,-1.1279549999999998,d>b>c>a,3.0,1.0,2.0,0.0
-1.337785,1.0103870000000001,0.823207,-0.996859,b>a>c>d,1.0,0.0,2.0,3.0
-1.337785,1.0103870000000001,1.856137,-0.794715,d>b>c>a,3.0,1.0,2.0,0.0
-1.342777,1.015069,-0.6864600000000001,-0.12044400000000001,a>c>b>d,0.0,2.0,1.0,3.0
-1.322812,1.001024,1.856137,-1.028945,b>c>a>d,2.0,0.0,1.0,3.0
-1.322812,1.001024,1.856137,-0.6869970000000001,b>a>c>d,1.0,0.0,2.0,3.0
-1.327803,1.001024,1.856137,-0.8556790000000001,d>b>a>c,2.0,1.0,3.0,0.0
-1.327803,1.0057049999999998,1.856137,-0.9918170000000001,d>b>a>c,2.0,1.0,3.0,0.0
-1.327803,1.0057049999999998,1.856137,-0.81305,b>d>c>a,3.0,0.0,2.0,1.0
-1.322812,1.0057049999999998,1.697224,-0.32808899999999996,b>a>c>d,1.0,0.0,2.0,3.0
-1.327803,1.0057049999999998,1.141031,-0.557277,b>a>c>d,1.0,0.0,2.0,3.0
