A1,A2,A3,A4,A5,A6,ranking,a,b,c,d,e
-0.25414699999999996,-0.371548,-0.7776109999999999,-0.540154,-0.22469099999999997,-0.356748,e>c>b>d>a,4.0,2.0,1.0,3.0,0.0
-0.34786100000000003,-0.438456,-0.086506,-0.02754,-0.305699,-0.598733,d>a>c>b>e,1.0,3.0,2.0,0.0,4.0
0.795451,2.137508,0.918013,0.23881799999999997,0.099339,-0.195425,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.27289,-0.438456,1.47812,0.228767,0.167883,-0.360781,b>c>a>d>e,2.0,0.0,1.0,3.0,4.0
0.42059399999999997,1.401518,1.005549,0.19358699999999998,0.585384,0.288545,c>a>b>d>e,1.0,2.0,0.0,3.0,4.0
-0.27289,-0.405002,-0.376048,-0.394411,-0.392938,-0.598733,e>b>c>d>a,4.0,1.0,2.0,3.0,0.0
-0.310375,-0.438456,-1.0230780000000002,-0.731128,-0.642191,0.44986800000000005,a>d>c>b>e,0.0,3.0,2.0,1.0,4.0
-0.235404,-0.271185,-0.590908,0.148357,-0.187303,-0.598733,c>b>e>d>a,4.0,1.0,0.0,3.0,2.0
2.6135029999999997,0.8997069999999999,0.08366799999999999,0.44486899999999996,0.697548,-0.356748,c>b>d>a>e,3.0,1.0,0.0,2.0,4.0
-0.34786100000000003,-0.438456,0.621738,0.304151,0.12426400000000001,-0.356748,b>c>a>d>e,2.0,0.0,1.0,3.0,4.0
-0.197918,-0.338094,-0.41644899999999996,-0.525077,-0.31193000000000004,-0.276086,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.160433,-0.371548,-0.37910900000000003,-0.6758460000000001,-0.21846,-0.598733,c>d>e>a>b,3.0,4.0,0.0,1.0,2.0
-0.32911799999999997,-0.405002,1.894986,0.982611,0.772324,-0.679395,c>d>a>e>b,2.0,4.0,0.0,1.0,3.0
-0.25414699999999996,-0.371548,-0.163024,-0.449693,-0.237154,-0.518071,d>e>c>a>b,3.0,4.0,2.0,0.0,1.0
2.8571590000000002,3.3418550000000002,-0.538265,-0.19841199999999998,-0.100064,-0.518071,d>b>a>c>e,2.0,1.0,3.0,0.0,4.0
1.170307,1.033523,0.021842,-0.273796,1.07766,-0.518071,d>c>b>a>e,3.0,2.0,1.0,0.0,4.0
0.32688,1.2007940000000001,1.445064,2.324453,1.9126599999999998,0.288545,c>b>d>a>e,3.0,1.0,0.0,2.0,4.0
-0.122947,-0.037007,0.338318,1.248969,0.404675,-0.518071,c>b>d>a>e,3.0,1.0,0.0,2.0,4.0
0.083224,0.632075,-1.1553,-0.851743,-0.766818,0.046560000000000004,e>d>a>c>b,2.0,4.0,3.0,1.0,0.0
0.889165,2.5724110000000002,-0.27933,-0.399437,-0.554953,-0.276086,a>d>e>c>b,0.0,4.0,3.0,1.0,2.0
-0.085461,-0.271185,-0.312998,0.665996,0.367287,-0.356748,c>d>a>b>e,2.0,3.0,0.0,1.0,4.0
-0.291632,-0.438456,-0.206485,-0.007437999999999999,0.311204,0.20788299999999998,d>e>b>c>a,4.0,2.0,3.0,0.0,1.0
-0.179175,-0.30464,0.8739389999999999,0.007639,0.111801,-0.276086,c>b>e>d>a,4.0,1.0,0.0,3.0,2.0
-0.160433,-0.237731,1.352019,-0.128053,0.09310700000000001,0.768482,a>d>c>e>b,0.0,4.0,2.0,1.0,3.0
-0.27289,-0.30464,-0.451953,-0.716051,-0.299467,-0.679395,d>c>a>e>b,2.0,4.0,1.0,0.0,3.0
-0.21666100000000002,-0.338094,1.001264,2.470196,0.585384,-0.356748,b>c>d>a>e,3.0,0.0,1.0,2.0,4.0
-0.32911799999999997,-0.438456,-1.132039,-0.8165640000000001,-0.704505,0.046560000000000004,e>d>a>c>b,2.0,4.0,3.0,1.0,0.0
-0.27289,-0.438456,0.608271,0.9273290000000001,0.4296,0.046560000000000004,e>c>d>b>a,4.0,3.0,1.0,2.0,0.0
-0.366604,-0.438456,-1.162034,-0.746205,-0.654654,-0.679395,d>e>a>c>b,2.0,4.0,3.0,0.0,1.0
-0.34786100000000003,-0.438456,0.177325,0.002613,0.280048,-0.679395,b>d>c>a>e,3.0,0.0,2.0,1.0,4.0
-0.34786100000000003,-0.405002,-0.822297,-0.605487,-0.548721,-0.518071,e>d>a>b>c,2.0,3.0,4.0,1.0,0.0
-0.25414699999999996,-0.271185,-0.27320900000000004,-0.41451400000000005,-0.293236,-0.518071,d>c>b>a>e,3.0,2.0,1.0,0.0,4.0
-0.310375,-0.371548,-0.365029,-0.399437,-0.174841,-0.518071,c>d>a>e>b,2.0,4.0,0.0,1.0,3.0
-0.27289,-0.438456,1.5883049999999999,1.495225,1.1212790000000001,0.046560000000000004,c>e>b>d>a,4.0,2.0,0.0,3.0,1.0
-0.122947,-0.170823,1.250404,0.44989399999999996,0.25512199999999996,0.369207,a>d>c>e>b,0.0,4.0,2.0,1.0,3.0
11.291423,17.727106,1.999049,1.354507,0.915645,-0.276086,c>a>b>d>e,1.0,2.0,0.0,3.0,4.0
0.158195,0.330988,2.545689,0.992662,0.167883,0.933838,b>a>d>c>e,1.0,0.0,3.0,2.0,4.0
-0.14169,-0.10391500000000001,-0.320343,-0.54518,-0.44902,-0.195425,d>b>a>c>e,2.0,1.0,3.0,0.0,4.0
-0.21666100000000002,-0.371548,0.61378,1.470097,1.3393760000000001,0.921739,b>c>a>d>e,2.0,0.0,1.0,3.0,4.0
-0.32911799999999997,-0.405002,-1.256915,-0.9472299999999999,-0.785512,-0.43741,e>d>a>c>b,2.0,4.0,3.0,1.0,0.0
-0.34786100000000003,-0.438456,-0.6306970000000001,-0.9120510000000001,-0.741893,-0.518071,e>a>d>c>b,1.0,4.0,3.0,2.0,0.0
0.7017359999999999,1.401518,-0.724355,-0.5200520000000001,-0.442788,-0.679395,d>e>c>a>b,3.0,4.0,2.0,0.0,1.0
0.045738,0.063355,1.45241,0.9976879999999999,0.672622,0.20788299999999998,b>c>a>d>e,2.0,0.0,1.0,3.0,4.0
