A1,A2,A3,A4,A5,A6,A7,A8,A9,ranking,a,b,c,d,e,f,g,h,i
0.467575,-1.6588650000000003,-0.869441,-1.1607370000000001,-0.259424,-0.051276999999999996,1.094737,0.48058199999999995,-0.174868,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
1.447424,-1.26578,-0.160808,-1.074431,-0.679725,-0.29502,1.094737,0.877821,-0.174868,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
0.287455,0.738951,0.386772,0.824314,0.581176,0.192466,-0.797669,-0.154999,-0.174868,g>f>h>i>d>c>b>a>e,7.0,6.0,5.0,4.0,8.0,1.0,0.0,2.0,3.0
-1.247162,0.031399,-0.611757,0.651701,-0.36449899999999996,-0.051276999999999996,-0.608428,0.16279100000000002,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.438089,-0.24376,-0.5473359999999999,-0.297672,-0.57465,-0.051276999999999996,-0.22994699999999998,0.24223899999999998,1.299723,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.3048,-0.636845,-0.418493,-0.211365,-0.889875,-0.29502,0.527016,0.321687,-0.280196,e>g>f>h>a>i>d>c>b,4.0,8.0,7.0,6.0,0.0,2.0,1.0,3.0,5.0
0.002867,-1.187163,1.127615,-0.901818,-0.469574,-0.051276999999999996,0.9054969999999999,0.877821,-0.174868,i>d>c>b>a>g>f>h>e,4.0,3.0,2.0,1.0,8.0,6.0,5.0,7.0,0.0
0.8494280000000001,0.699643,-1.094916,0.047555,-1.310175,-0.29502,0.148534,0.877821,0.246444,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.38979400000000003,1.014111,0.966562,0.824314,-1.520325,-0.29502,-0.797669,0.718925,-0.174868,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-1.164307,0.385175,0.902141,0.651701,-0.15434900000000001,-0.051276999999999996,-0.703048,-0.631686,-0.174868,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.8112729999999999,-0.7547699999999999,-0.450704,-0.211365,0.26595100000000005,-0.051276999999999996,0.243155,-0.47279,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
-0.33215500000000003,-1.855407,0.9987729999999999,0.30647399999999997,0.791326,0.192466,-0.324567,-0.47279,-0.174868,e>f>h>i>d>c>b>a>g,7.0,6.0,5.0,4.0,0.0,1.0,8.0,2.0,3.0
-0.551901,-1.9733330000000002,0.547825,0.392781,1.001476,0.192466,-0.608428,-1.028924,-0.06954,e>g>f>h>i>d>c>b>a,8.0,7.0,6.0,5.0,0.0,2.0,1.0,3.0,4.0
