A1,A2,A3,A4,A5,A6,ranking,a,b,c,d,e,f
-0.419367,0.284548,-1.2866360000000001,-0.272329268,-0.144075,0.413263,f>b>a>d>c>e,2.0,1.0,4.0,3.0,5.0,0.0
-0.41692700000000005,-0.48723999999999995,-0.5927939999999999,-0.272329268,-0.73953,0.194082,b>f>a>e>c>d,2.0,0.0,4.0,5.0,3.0,1.0
-0.416929,-0.48723999999999995,-0.5927939999999999,-0.272329268,-0.73953,1.2814459999999999,b>f>a>e>c>d,2.0,0.0,4.0,5.0,3.0,1.0
-0.416338,-0.48723999999999995,-1.3055860000000001,-0.272329268,-0.834458,1.015298,b>f>e>c>a>d,4.0,0.0,3.0,5.0,2.0,1.0
-0.412074,-0.48723999999999995,-1.3055860000000001,-0.272329268,-0.834458,1.227362,b>f>e>a>c>d,3.0,0.0,4.0,5.0,2.0,1.0
-0.41663100000000003,-0.48723999999999995,-1.3055860000000001,-0.272329268,-0.834458,0.20689200000000002,b>f>e>a>c>d,3.0,0.0,4.0,5.0,2.0,1.0
-0.409837,0.048724,-0.476182,-0.272329268,-0.264892,-0.388027,b>f>a>c>d>e,2.0,0.0,3.0,4.0,5.0,1.0
-0.40329699999999996,0.048724,-0.476182,-0.272329268,-0.264892,-0.160307,b>a>f>c>d>e,1.0,0.0,3.0,4.0,5.0,2.0
-0.395543,0.048724,-0.476182,-0.272329268,-0.264892,-0.930285,a>b>f>c>d>e,0.0,1.0,3.0,4.0,5.0,2.0
-0.400333,0.048724,-0.476182,-0.272329268,-0.264892,-0.399413,b>a>f>c>d>e,1.0,0.0,3.0,4.0,5.0,2.0
-0.393956,0.048724,-0.476182,-0.272329268,-0.264892,0.131459,b>a>f>c>d>e,1.0,0.0,3.0,4.0,5.0,2.0
-0.406445,0.048724,-0.476182,-0.272329268,-0.264892,-0.392297,b>a>f>c>d>e,1.0,0.0,3.0,4.0,5.0,2.0
-0.409199,0.048724,-0.476182,-0.272329268,-0.264892,-0.563087,b>f>c>d>a>e,4.0,0.0,2.0,3.0,5.0,1.0
-0.346887,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.477692,e>f>b>a>d>c,3.0,2.0,5.0,4.0,0.0,1.0
-0.345934,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.268474,e>a>b>f>d>c,1.0,2.0,5.0,4.0,0.0,3.0
-0.34716199999999997,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.641365,e>f>b>a>d>c,3.0,2.0,5.0,4.0,0.0,1.0
-0.297574,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.49761700000000003,e>b>f>d>c>a,5.0,1.0,4.0,3.0,0.0,2.0
-0.328932,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.419338,e>a>f>b>d>c,1.0,3.0,5.0,4.0,0.0,2.0
-0.32678,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-1.179354,e>b>d>c>f>a,5.0,1.0,3.0,2.0,0.0,4.0
-0.335721,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.7936529999999999,e>f>a>b>d>c,2.0,3.0,5.0,4.0,0.0,1.0
-0.274571,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-1.017104,e>a>f>b>d>c,1.0,3.0,5.0,4.0,0.0,2.0
-0.32104499999999997,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.45492,e>a>f>b>d>c,1.0,3.0,5.0,4.0,0.0,2.0
-0.276817,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.203004,e>a>f>b>d>c,1.0,3.0,5.0,4.0,0.0,2.0
-0.305189,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.671254,e>a>f>b>d>c,1.0,3.0,5.0,4.0,0.0,2.0
-0.332878,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.513273,e>a>f>b>d>c,1.0,3.0,5.0,4.0,0.0,2.0
-0.322382,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.9758290000000001,e>a>b>f>d>c,1.0,2.0,5.0,4.0,0.0,3.0
-0.341987,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.671254,e>a>b>f>d>c,1.0,2.0,5.0,4.0,0.0,3.0
-0.30898600000000004,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.338213,e>a>b>f>d>c,1.0,2.0,5.0,4.0,0.0,3.0
-0.330235,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,0.29940300000000003,e>a>f>b>d>c,1.0,3.0,5.0,4.0,0.0,2.0
-0.303559,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,0.554165,e>a>f>b>d>c,1.0,3.0,5.0,4.0,0.0,2.0
-0.288636,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.8135789999999999,e>a>b>f>d>c,1.0,2.0,5.0,4.0,0.0,3.0
-0.262604,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.302632,e>a>f>b>d>c,1.0,3.0,5.0,4.0,0.0,2.0
-0.258736,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.476268,e>a>b>d>c>f,1.0,2.0,4.0,3.0,0.0,5.0
-0.28620500000000004,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.830658,e>a>f>b>d>c,1.0,3.0,5.0,4.0,0.0,2.0
-0.232598,-0.48723999999999995,-0.43682600000000005,-0.272329268,-0.144075,-0.268474,e>a>b>d>c>f,1.0,2.0,4.0,3.0,0.0,5.0
-0.412641,-0.48723999999999995,-0.754594,-0.272329268,-0.480637,-0.500464,f>e>a>b>c>d,2.0,3.0,4.0,5.0,1.0,0.0
-0.408773,-0.48723999999999995,-0.754594,-0.272329268,-0.480637,-0.6314029999999999,e>f>b>a>c>d,3.0,2.0,4.0,5.0,0.0,1.0
-0.410785,-0.48723999999999995,-0.754594,-0.272329268,-0.480637,-0.6185930000000001,f>e>b>c>d>a,5.0,2.0,3.0,4.0,1.0,0.0
-0.399751,-0.48723999999999995,-0.754594,-0.272329268,-0.480637,-0.453496,f>e>b>c>d>a,5.0,2.0,3.0,4.0,1.0,0.0
-0.416889,2.728545,-1.193347,-0.272329268,-1.093352,0.44172799999999995,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.41619700000000004,2.728545,-1.193347,-0.272329268,-1.093352,1.052302,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.40528600000000004,-0.48723999999999995,-0.616117,-0.272329268,-0.9207559999999999,0.690797,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.40365100000000004,-0.48723999999999995,-0.616117,-0.272329268,-0.9207559999999999,-0.164577,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.401575,-0.48723999999999995,-0.616117,-0.272329268,-0.9207559999999999,-0.1048,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.40583800000000003,-0.48723999999999995,-0.616117,-0.272329268,-0.9207559999999999,-0.306902,b>f>e>c>a>d,4.0,0.0,3.0,5.0,2.0,1.0
-0.400173,-0.48723999999999995,-0.616117,-0.272329268,-0.9207559999999999,-0.8577,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.39820300000000003,-0.48723999999999995,-0.616117,-0.272329268,-0.9207559999999999,-0.709681,b>f>e>c>d>a,5.0,0.0,3.0,4.0,2.0,1.0
-0.393447,-0.48723999999999995,-0.616117,-0.272329268,-0.9207559999999999,-0.362408,b>a>f>e>c>d,1.0,0.0,4.0,5.0,3.0,2.0
-0.39058699999999996,-0.48723999999999995,-0.616117,-0.272329268,-0.9207559999999999,-1.2604790000000001,b>a>f>e>c>d,1.0,0.0,4.0,5.0,3.0,2.0
-0.394552,-0.48723999999999995,-0.616117,-0.272329268,-0.9207559999999999,-0.9715600000000001,b>f>a>e>c>d,2.0,0.0,4.0,5.0,3.0,1.0
-0.409786,0.41318,-0.801238,-0.272329268,-0.998424,-0.457766,b>f>c>e>a>d,4.0,0.0,2.0,5.0,3.0,1.0
-0.41506000000000004,0.41318,-0.801238,-0.272329268,-0.998424,-0.241432,b>f>a>c>e>d,2.0,0.0,3.0,5.0,4.0,1.0
-0.41386999999999996,0.41318,-0.801238,-0.272329268,-0.998424,0.322175,b>f>c>e>d>a,5.0,0.0,2.0,4.0,3.0,1.0
-0.414311,0.41318,-0.801238,-0.272329268,-0.998424,-0.407952,b>f>c>e>d>a,5.0,0.0,2.0,4.0,3.0,1.0
-0.418521,2.728545,-1.0402930000000001,-0.272329268,-1.248688,-0.5645100000000001,b>e>f>d>a>c,4.0,0.0,5.0,3.0,1.0,2.0
