A1,A2,A3,A4,ranking,a,b,c
-0.555556,0.25,-0.8644069999999999,-0.916667,a>b>c,0.0,1.0,2.0
-0.666667,-0.166667,-0.8644069999999999,-0.916667,a>b>c,0.0,1.0,2.0
-0.777778,0.0,-0.8983049999999999,-0.916667,a>b>c,0.0,1.0,2.0
-0.833333,-0.08333339999999999,-0.830508,-0.916667,a>b>c,0.0,1.0,2.0
-0.611111,0.333333,-0.8644069999999999,-0.916667,a>b>c,0.0,1.0,2.0
-0.388889,0.583333,-0.762712,-0.75,a>b>c,0.0,1.0,2.0
-0.833333,0.166667,-0.8644069999999999,-0.833333,a>b>c,0.0,1.0,2.0
-0.611111,0.166667,-0.830508,-0.916667,a>b>c,0.0,1.0,2.0
-0.9444440000000001,-0.25,-0.8644069999999999,-0.916667,a>b>c,0.0,1.0,2.0
-0.666667,-0.08333339999999999,-0.830508,-1.0,a>b>c,0.0,1.0,2.0
-0.388889,0.416667,-0.830508,-0.916667,a>b>c,0.0,1.0,2.0
-0.722222,0.166667,-0.79661,-0.916667,a>b>c,0.0,1.0,2.0
-0.722222,-0.166667,-0.8644069999999999,-1.0,a>b>c,0.0,1.0,2.0
-1.0,-0.166667,-0.966102,-1.0,a>b>c,0.0,1.0,2.0
-0.166667,0.666667,-0.9322030000000001,-0.916667,a>b>c,0.0,1.0,2.0
-0.22222199999999998,1.0,-0.830508,-0.75,a>b>c,0.0,1.0,2.0
-0.388889,0.583333,-0.8983049999999999,-0.75,a>b>c,0.0,1.0,2.0
-0.555556,0.25,-0.8644069999999999,-0.833333,a>b>c,0.0,1.0,2.0
-0.22222199999999998,0.5,-0.762712,-0.833333,a>b>c,0.0,1.0,2.0
-0.555556,0.5,-0.830508,-0.833333,a>b>c,0.0,1.0,2.0
-0.388889,0.166667,-0.762712,-0.916667,a>b>c,0.0,1.0,2.0
-0.555556,0.416667,-0.830508,-0.75,a>b>c,0.0,1.0,2.0
-0.833333,0.333333,-1.0,-0.916667,a>b>c,0.0,1.0,2.0
-0.555556,0.08333330000000001,-0.762712,-0.666667,a>b>c,0.0,1.0,2.0
-0.722222,0.166667,-0.694915,-0.916667,a>b>c,0.0,1.0,2.0
-0.611111,-0.166667,-0.79661,-0.916667,a>b>c,0.0,1.0,2.0
-0.611111,0.166667,-0.79661,-0.75,a>b>c,0.0,1.0,2.0
-0.5,0.25,-0.830508,-0.916667,a>b>c,0.0,1.0,2.0
-0.5,0.166667,-0.8644069999999999,-0.916667,a>b>c,0.0,1.0,2.0
-0.777778,0.0,-0.79661,-0.916667,a>b>c,0.0,1.0,2.0
-0.722222,-0.08333339999999999,-0.79661,-0.916667,a>b>c,0.0,1.0,2.0
-0.388889,0.166667,-0.830508,-0.75,a>b>c,0.0,1.0,2.0
-0.5,0.75,-0.830508,-1.0,a>b>c,0.0,1.0,2.0
-0.333333,0.833333,-0.8644069999999999,-0.916667,a>b>c,0.0,1.0,2.0
-0.666667,-0.08333339999999999,-0.830508,-1.0,a>b>c,0.0,1.0,2.0
-0.611111,0.0,-0.9322030000000001,-0.916667,a>b>c,0.0,1.0,2.0
-0.333333,0.25,-0.8983049999999999,-0.916667,a>b>c,0.0,1.0,2.0
-0.666667,-0.08333339999999999,-0.830508,-1.0,a>b>c,0.0,1.0,2.0
-0.9444440000000001,-0.166667,-0.8983049999999999,-0.916667,a>b>c,0.0,1.0,2.0
