A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,ranking,a,b,c,d,e,f,g,h,i,j
0.23894400000000002,0.91745,-0.51648,-0.144764,0.212009,-1.058394,-0.8248139999999999,-1.487957,-1.665963,-0.39249,-0.121121,0.670114,2.013728,1.6607509999999999,-0.174507,1.932877,i>f>a>g>h>j>b>e>d>c,2.0,6.0,9.0,8.0,7.0,1.0,3.0,4.0,0.0,5.0
-1.1330069999999999,0.239215,-0.51648,0.8466969999999999,-0.22786700000000001,0.349186,-0.726701,0.016752,-1.226538,-0.686051,-0.630667,-1.2841639999999999,0.6258060000000001,-0.9934120000000001,1.262261,-0.638529,c>h>f>b>i>j>g>a>d>e,7.0,3.0,0.0,8.0,9.0,2.0,6.0,1.0,4.0,5.0
-1.1330069999999999,-1.733832,-0.364637,-0.823131,0.651885,0.904809,1.595315,1.8558419999999998,0.5604560000000001,1.515658,-0.28203,0.596368,-1.209834,-0.299711,-0.749214,-0.806229,b>j>f>i>h>a>d>e>c>g,5.0,0.0,8.0,6.0,7.0,2.0,9.0,4.0,3.0,1.0
-1.1330069999999999,0.91745,-1.275695,0.42923999999999995,-1.3128950000000001,0.089895,-1.0537459999999998,0.016752,0.853406,0.011156999999999999,1.0588799999999998,0.375129,0.849664,-0.360033,0.47203900000000004,-0.806229,e>j>f>b>h>i>a>g>c>d,6.0,3.0,8.0,9.0,0.0,2.0,7.0,4.0,5.0,1.0
-1.1330069999999999,-1.1172540000000002,0.318657,-0.040399000000000004,1.472987,1.275225,0.97393,1.187082,0.091736,0.965231,-0.5502130000000001,0.19076300000000002,-0.985975,-0.45051499999999994,-0.006884,-0.806229,b>h>j>f>i>d>a>c>e>g,6.0,0.0,7.0,5.0,8.0,3.0,9.0,1.0,4.0,2.0
1.7860369999999999,0.91745,1.7991270000000001,0.794515,-0.022591,0.31214400000000003,-1.119154,0.083628,-1.665963,-0.649356,-0.630667,-1.2841639999999999,0.8048930000000001,-0.571159,-0.6534300000000001,-0.24722800000000003,g>f>i>j>b>d>a>c>h>e,6.0,4.0,7.0,5.0,9.0,1.0,0.0,8.0,2.0,3.0
-1.1330069999999999,0.91745,-1.427538,-0.6144029999999999,-0.697068,-1.132478,1.104748,-0.317627,1.263536,1.368878,0.334789,2.292534,0.446719,0.42415200000000003,0.448092,-0.806229,e>a>f>j>i>b>h>g>c>d,1.0,5.0,8.0,9.0,0.0,2.0,7.0,6.0,4.0,3.0
-1.1330069999999999,-2.84367,-1.4654989999999999,-1.136224,-1.136944,-2.243725,0.38525,-1.487957,1.263536,0.341413,0.76388,2.3662810000000003,-0.8516600000000001,1.9623599999999999,-1.132352,0.786924,a>i>f>j>h>b>g>e>d>c,0.0,5.0,9.0,8.0,7.0,2.0,6.0,4.0,1.0,3.0
-0.753532,0.239215,-1.085891,-1.7624099999999998,0.651885,-1.021353,0.156319,-1.487957,-1.548783,-0.612661,-1.622941,0.9651,-1.0307469999999999,1.781394,1.262261,1.988777,f>i>a>h>g>b>j>e>c>d,2.0,5.0,8.0,9.0,7.0,0.0,4.0,3.0,1.0,6.0
0.530848,0.91745,-0.706284,-0.6144029999999999,-1.4595200000000002,-1.2806440000000001,-0.857519,-1.487957,0.531161,-0.7594420000000001,1.0588799999999998,0.559495,0.894436,1.570268,-0.509753,1.569526,a>i>f>g>j>h>e>b>d>c,0.0,7.0,9.0,8.0,6.0,2.0,3.0,5.0,1.0,4.0
1.0270860000000002,0.1159,-0.364637,0.8466969999999999,-1.4595200000000002,0.126936,0.352546,0.6520739999999999,1.263536,1.662439,1.0588799999999998,0.11701700000000001,1.297381,-1.053734,-0.701322,-0.7782789999999999,j>b>f>e>i>d>a>c>h>g,6.0,1.0,7.0,5.0,3.0,2.0,9.0,8.0,4.0,0.0
0.26813400000000004,0.6708189999999999,0.8121470000000001,-0.979678,1.121086,-1.4288100000000001,-0.9883370000000001,-1.487957,-1.050769,-0.025537999999999998,0.49569799999999997,1.186339,2.013728,1.9623599999999999,-1.132352,1.569526,i>f>a>j>g>h>b>e>d>c,2.0,6.0,9.0,8.0,7.0,1.0,4.0,5.0,0.0,3.0
1.7860369999999999,0.91745,1.191755,0.794515,-0.403817,0.46031000000000005,-0.563179,0.31769400000000003,0.648341,0.48819399999999996,0.093425,-0.804813,-1.6127790000000002,-1.053734,-1.132352,-0.750329,j>d>b>f>i>g>a>c>h>e,6.0,2.0,7.0,1.0,9.0,3.0,5.0,8.0,4.0,0.0
1.523323,-0.68565,0.5084609999999999,0.8466969999999999,-1.4595200000000002,0.7936850000000001,-0.9229280000000001,0.48488400000000004,0.7069310000000001,1.222097,1.0588799999999998,0.15389,1.073523,-0.93309,-0.629483,-0.806229,j>b>f>i>d>a>e>c>h>g,5.0,1.0,7.0,4.0,6.0,2.0,9.0,8.0,3.0,0.0
-1.1330069999999999,-0.007416,-0.098911,0.8466969999999999,0.915811,0.8307260000000001,1.170157,0.183942,0.794816,-0.796137,-0.067485,-1.2841639999999999,-0.090541,-0.39019299999999996,1.262261,-0.135428,h>c>f>i>j>b>a>g>d>e,6.0,5.0,1.0,8.0,9.0,2.0,7.0,0.0,3.0,4.0
-0.11134200000000001,-0.562335,0.622343,0.8466969999999999,1.472987,0.978893,0.548772,0.71895,0.7069310000000001,0.157937,0.576153,-0.952306,-1.0307469999999999,-1.053734,-1.132352,-0.33107800000000004,d>j>f>b>h>i>a>g>c>e,6.0,3.0,8.0,0.0,9.0,2.0,7.0,4.0,5.0,1.0
0.326515,-0.069073,0.96399,0.8466969999999999,0.7398600000000001,0.349186,-0.007203,0.21738000000000002,1.263536,0.304718,0.978426,-0.804813,-0.26962800000000003,-1.053734,-1.132352,-0.610579,d>j>b>f>i>h>a>g>c>e,6.0,2.0,8.0,0.0,9.0,3.0,7.0,5.0,4.0,1.0
1.756847,-0.315704,0.850108,0.8466969999999999,-0.7263930000000001,0.386227,0.9085209999999999,0.785826,1.263536,1.038621,0.978426,-0.43608100000000005,-0.04577,-1.053734,-1.132352,-0.359028,j>d>f>i>b>a>h>c>g>e,5.0,4.0,7.0,1.0,9.0,2.0,8.0,6.0,3.0,0.0
-0.432437,-1.1789120000000002,0.090892,0.8466969999999999,0.27065900000000004,-0.021230000000000002,-0.563179,-0.551693,-1.665963,-1.199784,-1.19385,-0.878559,0.13331700000000002,-1.053734,1.262261,-0.7782789999999999,c>b>f>h>i>j>a>g>e>d,6.0,1.0,0.0,9.0,8.0,2.0,7.0,3.0,4.0,5.0
-1.1330069999999999,-0.747308,-0.820166,0.794515,0.651885,1.275225,0.6141810000000001,0.953016,-0.728524,0.524889,-1.48885,-0.620447,-0.403943,-1.053734,1.262261,-0.806229,c>b>h>f>i>j>a>e>g>d,6.0,1.0,0.0,9.0,7.0,3.0,8.0,2.0,4.0,5.0
-0.782722,-0.500677,-0.782205,-1.136224,0.827836,-0.9472700000000001,-0.039908,-1.487957,-1.636668,-0.612661,-1.622941,1.075719,-1.433692,1.9020380000000001,1.262261,1.988777,f>i>a>h>g>b>j>e>c>d,2.0,5.0,8.0,9.0,7.0,0.0,4.0,3.0,1.0,6.0
-1.1330069999999999,-2.412066,0.318657,-1.03186,0.827836,0.7936850000000001,1.595315,1.8558419999999998,0.9998809999999999,1.515658,0.6566069999999999,0.522622,0.894436,-0.329872,0.9988530000000001,-0.806229,b>j>i>f>h>a>c>d>e>g,5.0,0.0,6.0,7.0,8.0,3.0,9.0,4.0,2.0,1.0
-0.841103,0.054242,-0.250755,-0.9274959999999999,0.5345850000000001,-1.169519,-0.563179,-1.487957,-1.548783,-0.282405,-1.622941,1.2600850000000001,-0.941204,1.811555,1.262261,1.988777,f>i>a>h>g>b>j>e>c>d,2.0,5.0,8.0,9.0,7.0,0.0,4.0,3.0,1.0,6.0
0.9978950000000001,-1.425543,0.4705,0.8466969999999999,-1.4595200000000002,0.23806100000000002,1.006635,-0.183875,1.263536,-1.236479,-1.220668,-0.76794,-0.13531300000000002,0.6654399999999999,1.0228,1.821077,i>f>a>j>g>b>h>c>e>d,2.0,5.0,7.0,9.0,8.0,1.0,4.0,6.0,0.0,3.0
0.44327700000000003,0.91745,-0.250755,-0.45785600000000004,-1.283569,-0.836145,-1.67513,-1.120139,0.38468600000000003,-1.236479,1.0588799999999998,-0.251715,-0.493487,0.333669,-0.27029200000000003,-0.21927800000000003,g>f>a>i>j>h>b>c>e>d,2.0,6.0,7.0,9.0,8.0,1.0,0.0,5.0,3.0,4.0
-0.811912,0.91745,-1.541421,-0.770949,-1.019644,-0.836145,1.170157,0.083628,1.263536,1.148707,0.361607,1.186339,0.715349,-0.058423,0.448092,-0.806229,e>j>f>b>a>i>h>d>c>g,4.0,3.0,8.0,7.0,0.0,2.0,9.0,6.0,5.0,1.0
