A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,ranking,a,b,c,d,e,f,g,h,i,j,k
0.9109999999999999,0.0271,0.555,2.07,-0.16,-0.929,-0.6729999999999999,-1.17,-1.17,-1.14,0.233,1.19,0.174,1.06,0.311,-0.127,-0.221,-1.16,-0.685,-0.599,-1.06,-0.375,0.5770000000000001,2.38,e>i>j>d>k>f>h>g>b>a>c,9.0,8.0,10.0,3.0,0.0,5.0,7.0,6.0,1.0,2.0,4.0
-0.423,-0.514,-0.434,0.631,-0.16699999999999998,-0.315,-0.514,-0.514,-0.479,-0.514,-0.0894,-0.322,0.129,0.741,0.0635,-0.155,-0.514,-0.514,-0.0562,0.631,-0.514,0.0512,-0.514,4.32,e>b>g>k>j>f>a>h>c>d>i,6.0,1.0,8.0,9.0,0.0,5.0,2.0,7.0,10.0,4.0,3.0
-0.24600000000000002,0.0369,-0.298,-0.306,-0.165,-0.28600000000000003,-0.16699999999999998,-0.141,-0.195,-0.21600000000000003,-0.15,-0.187,-0.22899999999999998,-0.0976,-0.306,-0.2,-0.282,0.0132,-0.27899999999999997,-0.306,-0.306,-0.0376,-0.297,4.67,c>g>h>i>e>f>b>d>a>j>k,8.0,6.0,0.0,7.0,4.0,5.0,1.0,2.0,3.0,9.0,10.0
-1.93,-1.9,0.41,0.628,0.503,0.425,0.488,0.41,0.581,0.55,0.597,0.581,0.254,-1.88,0.254,0.254,0.519,-1.88,-1.87,0.674,0.659,0.425,0.581,0.674,a>h>g>j>i>k>d>e>f>b>c,0.0,9.0,10.0,6.0,7.0,8.0,2.0,1.0,4.0,3.0,5.0
-0.779,0.569,-0.107,-0.268,-0.779,0.309,-0.32,-0.779,-0.779,-0.779,2.76,2.05,0.268,-0.6559999999999999,-0.0461,-0.281,-0.779,0.528,0.789,1.85,-0.779,-0.779,-0.779,-0.452,b>g>h>k>j>i>a>e>f>d>c,6.0,0.0,10.0,9.0,7.0,8.0,1.0,2.0,5.0,4.0,3.0
1.52,-0.965,-0.902,-0.898,1.23,-0.9309999999999999,-0.965,0.728,0.602,0.7829999999999999,1.22,1.14,-0.929,-0.937,-0.965,-0.946,1.15,0.539,0.596,-0.9520000000000001,-0.9590000000000001,0.341,-0.965,1.46,c>e>f>k>j>i>a>d>b>h>g,6.0,8.0,0.0,7.0,1.0,2.0,10.0,9.0,5.0,4.0,3.0
-1.31,-0.293,0.9420000000000001,0.899,0.136,0.341,-0.58,-0.423,-0.852,-0.34700000000000003,1.63,0.9420000000000001,1.2,-0.606,-0.423,0.77,-1.26,-0.293,-0.423,-0.47700000000000004,-0.752,-0.451,-1.16,2.78,c>g>i>k>f>h>d>j>e>a>b,9.0,10.0,0.0,6.0,8.0,4.0,1.0,5.0,2.0,7.0,3.0
-0.747,0.9670000000000001,1.64,-0.426,-0.24100000000000002,-0.546,-0.551,-0.377,-0.541,-0.632,-0.546,-0.551,-1.43,1.75,-1.47,0.682,0.256,-0.146,-0.0907,-0.261,0.316,0.797,-0.586,2.74,c>e>h>j>i>k>a>d>b>g>f,6.0,8.0,0.0,7.0,1.0,10.0,9.0,2.0,4.0,3.0,5.0
-0.187,-0.214,-0.228,-0.2,-0.21899999999999997,-0.24600000000000002,-0.244,-0.221,-0.203,-0.243,-0.218,-0.228,-0.185,-0.18,-0.21,-0.23399999999999999,-0.207,-0.0694,-0.053,-0.237,-0.207,-0.226,-0.221,4.69,b>e>i>k>f>j>a>g>d>c>h,6.0,0.0,9.0,8.0,1.0,4.0,7.0,10.0,2.0,5.0,3.0
-0.28800000000000003,-0.28800000000000003,-0.264,-0.193,-0.168,-0.264,-0.259,-0.215,0.15,-0.177,-0.183,-0.14800000000000002,-0.0578,-0.22699999999999998,-0.187,-0.231,-0.20800000000000002,-0.28800000000000003,-0.242,-0.22,-0.17300000000000001,-0.28800000000000003,-0.263,4.67,c>b>f>j>d>h>e>a>g>k>i,7.0,1.0,0.0,4.0,6.0,2.0,8.0,5.0,10.0,3.0,9.0
-0.408,-0.49200000000000005,-0.49200000000000005,-0.49200000000000005,-0.49200000000000005,-0.297,-0.313,-0.49200000000000005,-0.292,-0.387,-0.49200000000000005,-0.49200000000000005,-0.49200000000000005,-0.49200000000000005,-0.49200000000000005,-0.11199999999999999,1.85,0.8370000000000001,-0.0862,-0.49200000000000005,1.63,-0.48200000000000004,-0.0977,3.57,f>b>c>g>j>k>e>h>i>a>d,9.0,1.0,2.0,10.0,6.0,0.0,3.0,7.0,8.0,4.0,5.0
-0.8440000000000001,-0.637,0.28,1.55,-0.299,-0.8440000000000001,1.03,-0.8440000000000001,-0.8440000000000001,0.36200000000000004,0.7120000000000001,-0.161,0.8029999999999999,-0.45799999999999996,0.36200000000000004,0.392,-0.8440000000000001,-0.653,-0.307,-0.512,-0.499,-0.317,-0.8440000000000001,3.43,i>d>e>f>c>h>j>g>k>a>b,9.0,10.0,4.0,1.0,2.0,3.0,7.0,5.0,0.0,6.0,8.0
-0.289,-0.15,-0.174,-0.254,-0.0675,-0.243,-0.257,-0.306,-0.174,-0.168,-0.11,-0.0979,-0.247,-0.262,-0.135,-0.11,-0.11,-0.294,-0.18,-0.263,-0.289,-0.221,-0.289,4.68,b>h>f>i>e>c>g>d>a>k>j,8.0,0.0,5.0,7.0,4.0,2.0,6.0,1.0,3.0,10.0,9.0
-0.32799999999999996,-0.28,-0.107,-0.365,0.353,-0.34600000000000003,-0.355,-0.29,-0.156,-0.36200000000000004,-0.32899999999999996,-0.32899999999999996,-0.132,-0.304,-0.22899999999999998,0.12300000000000001,0.159,-0.293,-0.364,-0.34600000000000003,0.221,-0.217,-0.313,4.59,f>j>d>c>b>a>k>e>h>i>g,5.0,4.0,3.0,2.0,7.0,0.0,10.0,8.0,9.0,1.0,6.0
-0.23199999999999998,-0.22899999999999998,-0.18600000000000003,-0.179,-0.21899999999999997,-0.213,-0.21899999999999997,-0.223,-0.21600000000000003,-0.21,-0.19399999999999998,-0.179,-0.139,-0.193,-0.17600000000000002,-0.233,-0.239,-0.21,-0.212,-0.19,-0.22,-0.17,-0.217,4.69,e>g>b>c>d>i>j>f>k>h>a,10.0,2.0,3.0,4.0,0.0,7.0,1.0,9.0,5.0,6.0,8.0
-0.000602,-0.342,-0.0539,-0.35600000000000004,-0.31,0.193,-0.35600000000000004,-0.35600000000000004,-0.327,0.0209,-0.0924,-0.345,-0.35600000000000004,-0.0924,-0.324,-0.35600000000000004,-0.35600000000000004,-0.0302,-0.11599999999999999,0.155,-0.35600000000000004,-0.11599999999999999,-0.35600000000000004,4.62,i>e>b>c>d>f>j>h>k>g>a,10.0,2.0,3.0,4.0,1.0,5.0,9.0,7.0,0.0,6.0,8.0
-0.531,2.14,-0.531,-0.266,-0.157,-0.447,-0.531,-0.22699999999999998,-0.531,-0.531,-0.0746,-0.32899999999999996,-0.475,1.07,-0.531,-0.531,-0.494,2.5,2.66,-0.531,-0.531,-0.366,-0.503,-0.28,c>e>k>h>b>i>d>f>j>a>g,9.0,4.0,0.0,6.0,1.0,7.0,10.0,3.0,5.0,8.0,2.0
-0.00586,-1.37,-1.4,0.45799999999999996,1.22,0.614,0.593,0.527,1.1,0.447,-1.4,-1.39,0.00983,0.0827,0.0077599999999999995,-1.39,0.444,0.489,0.502,-1.36,0.718,0.528,-1.4,1.98,b>g>h>i>e>f>a>d>c>j>k,6.0,0.0,8.0,7.0,4.0,5.0,1.0,2.0,3.0,9.0,10.0
