A1,A2,A3,A4,A5,ranking,a,b,c,d,e
-1.924447,0.575222,0.016674,-0.41964300000000004,0.000801,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
-1.8619919999999999,0.652129,0.337144,-0.24129099999999998,0.079475,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
-1.8111540000000002,0.608182,0.42870699999999995,-0.263585,0.070733,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.789406,0.663116,0.47448900000000005,-0.24129099999999998,0.12318299999999999,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.904093,0.44338,0.47448900000000005,-0.709464,-0.077874,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.8417310000000002,0.44338,0.29136300000000004,-0.620289,-0.086616,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.799537,0.47634099999999996,0.15401800000000002,-0.5088189999999999,-0.007941,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.789406,0.542261,0.1998,-0.41964300000000004,0.061992,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.799537,0.509301,0.10823699999999999,-0.375055,0.061992,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.753067,0.575222,0.15401800000000002,-0.263585,0.070733,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.758923,0.553248,0.337144,-0.24129099999999998,0.08821699999999999,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.753067,0.509301,0.47448900000000005,-0.17440899999999998,0.027025,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.7850380000000001,0.465354,0.10823699999999999,-0.330467,-0.034166,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.8111540000000002,0.465354,-0.12067,-0.352761,-0.034166,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.753067,0.553248,-0.12067,-0.330467,-0.034166,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.665984,0.553248,-0.212233,-0.24129099999999998,-0.007941,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.6761139999999999,0.542261,-0.166452,-0.129821,0.000801,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.706598,0.542261,-0.029107,0.11541199999999999,0.027025,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.6761139999999999,0.619169,0.016674,0.20458800000000002,0.070733,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.6355,0.7290369999999999,0.062456,0.29376399999999997,0.184375,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.613659,0.761997,0.062456,0.20458800000000002,0.17563299999999998,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.625276,0.8169310000000001,0.1998,0.137706,0.193116,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.619514,0.860878,0.1998,0.11541199999999999,0.166891,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.613659,0.860878,0.15401800000000002,0.070824,0.166891,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.6355,0.8389040000000001,0.10823699999999999,0.026236000000000002,0.1057,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.6761139999999999,0.783971,0.062456,-0.062939,0.035767,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.629645,0.7510100000000001,0.10823699999999999,-0.040645,0.05325,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.583175,0.772984,0.1998,-0.018351,0.079475,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.583175,0.71805,0.10823699999999999,0.11541199999999999,0.079475,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5671899999999999,0.7510100000000001,0.15401800000000002,0.338352,0.096958,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.546929,0.772984,0.15401800000000002,0.27147,0.079475,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.552691,0.827918,0.062456,0.137706,0.05325,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.583175,0.740023,-0.029107,0.182294,0.035767,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.546929,0.772984,0.10823699999999999,0.137706,0.096958,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.542561,0.794957,0.15401800000000002,0.182294,0.14940799999999999,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.552691,0.805944,0.47448900000000005,0.27147,0.166891,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.546929,0.761997,0.42870699999999995,0.249176,0.184375,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.542561,0.7290369999999999,0.1998,0.182294,0.166891,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.562915,0.7290369999999999,0.245581,0.070824,0.17563299999999998,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.562915,0.7510100000000001,0.1998,0.27147,0.184375,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.583175,0.772984,0.337144,0.249176,0.166891,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.625276,0.783971,0.29136300000000004,0.27147,0.140666,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.603529,0.827918,0.29136300000000004,0.29376399999999997,0.14940799999999999,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.58903,0.871865,0.245581,0.29376399999999997,0.166891,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5671899999999999,0.9267989999999999,0.1998,0.249176,0.166891,a>d>b>e>c,0.0,2.0,4.0,1.0,3.0
-1.5671899999999999,0.8828520000000001,0.29136300000000004,0.182294,0.20185799999999998,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.562915,0.805944,0.42870699999999995,0.16,0.15815,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.557059,0.794957,0.1998,-0.062939,0.114442,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.562915,0.794957,0.1998,0.09311799999999999,0.079475,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.546929,0.860878,0.42870699999999995,0.048530000000000004,0.08821699999999999,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.5105899999999999,0.8828520000000001,0.703396,0.048530000000000004,0.1057,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.52072,0.9707459999999999,0.8865219999999999,0.22688200000000003,0.131925,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.506222,1.036667,1.619025,0.338352,0.193116,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.480106,1.157521,2.305746,0.49441,0.20185799999999998,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.5105899999999999,1.245415,2.351528,0.42752799999999996,0.15815,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.52072,1.278376,1.8937130000000002,0.449822,0.193116,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
-1.5671899999999999,1.2124549999999998,1.80215,0.42752799999999996,0.193116,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.609384,1.069627,1.527462,0.338352,0.20185799999999998,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.583175,0.959759,1.435899,0.16,0.1057,d>a>b>e>c,1.0,2.0,4.0,0.0,3.0
-1.5933979999999999,0.9707459999999999,1.939495,0.003943,0.05325,d>a>b>c>e,1.0,2.0,3.0,0.0,4.0
