A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,ranking,a,b,c,d
-0.043478300000000004,0.153846,0.194444,-0.35371199999999997,-0.450549,-0.698113,-0.346405,-0.08571430000000001,-0.5,0.171429,-0.515789,-0.532374,-0.0566038,-0.710526,-0.454545,-0.21951199999999998,-0.266667,0.0666667,c>a>b>d,1.0,2.0,0.0,3.0
-0.21739099999999997,-0.384615,0.22222199999999998,-0.676856,-0.78022,-0.735849,-0.5163399999999999,0.08571430000000001,-0.666667,-0.28571399999999997,-0.578947,-0.64988,-0.383648,-0.657895,-0.181818,-0.317073,-0.13333299999999998,0.2,d>a>b>c,1.0,2.0,3.0,0.0
0.347826,0.307692,0.833333,-0.0829694,-0.582418,-0.698113,0.24183000000000002,-0.657143,0.0,0.14285699999999998,-0.021052599999999998,0.0815348,0.396226,-0.631579,0.272727,-0.560976,-0.2,0.0,b>a>c>d,1.0,0.0,2.0,3.0
-0.130435,-0.384615,0.166667,-0.519651,-0.648352,-0.735849,-0.581699,0.14285699999999998,-0.666667,-0.28571399999999997,-0.684211,-0.70024,-0.7735850000000001,-0.8947370000000001,-0.454545,-0.512195,0.533333,0.733333,d>a>b>c,1.0,2.0,3.0,0.0
-0.478261,-0.153846,-0.166667,-0.117904,0.230769,0.886792,-0.5163399999999999,0.08571430000000001,-0.666667,-0.257143,0.16842100000000002,-0.661871,-0.00628931,0.789474,-0.181818,-0.46341499999999997,-0.733333,-0.866667,d>a>b>c,1.0,2.0,3.0,0.0
0.478261,0.8461540000000001,0.833333,-0.406114,-0.934066,-0.849057,0.869281,-1.0,0.833333,0.457143,0.578947,0.8537170000000001,0.949686,-0.315789,-0.545455,-0.560976,-0.666667,-0.866667,a>c>b>d,0.0,2.0,1.0,3.0
0.043478300000000004,-0.230769,-0.08333330000000001,-0.39738,-0.604396,-0.849057,-0.464052,-0.08571430000000001,-0.666667,-0.28571399999999997,-0.515789,-0.5755399999999999,-0.20754699999999998,-0.815789,0.181818,-0.9512200000000001,0.6,0.533333,d>b>a>c,2.0,1.0,3.0,0.0
-0.26087,-0.230769,-0.277778,-0.537118,-0.604396,-0.735849,-0.673203,0.257143,-0.833333,-0.2,-0.663158,-0.767386,-0.308176,-0.789474,-0.727273,-0.8536590000000001,0.13333299999999998,0.4,d>a>b>c,1.0,2.0,3.0,0.0
-0.434783,-0.923077,-0.388889,-0.6855899999999999,-0.692308,-0.811321,-0.869281,0.6,-1.0,-0.742857,-0.8842110000000001,-0.906475,-0.9622639999999999,-0.8684209999999999,-0.818182,-0.317073,0.6,0.8,d>a>b>c,1.0,2.0,3.0,0.0
-0.130435,-0.153846,0.611111,-0.187773,-0.67033,-0.660377,-0.0718954,-0.428571,-0.166667,-0.2,-0.24210500000000001,-0.23021599999999998,-0.45911899999999994,-0.8684209999999999,-0.636364,-0.317073,0.266667,0.533333,b>a>c>d,1.0,0.0,2.0,3.0
-0.434783,-0.769231,-0.166667,-0.659389,-0.692308,-0.735849,-0.72549,0.371429,-0.833333,-0.657143,-0.757895,-0.803357,-0.7735850000000001,-0.815789,-0.818182,-0.512195,0.2,0.4,d>a>b>c,1.0,2.0,3.0,0.0
-0.26087,-0.923077,-0.277778,-0.7205239999999999,-0.824176,-0.849057,-0.856209,0.6,-1.0,-1.0,-0.810526,-0.904077,-0.886792,-0.8421049999999999,-0.545455,0.268293,0.333333,0.4,d>a>b>c,1.0,2.0,3.0,0.0
-0.347826,0.0,-0.055555600000000004,-0.414847,-0.538462,-0.849057,-0.477124,-0.0285714,-0.666667,-0.14285699999999998,-0.473684,-0.604317,0.044025199999999994,-0.684211,-0.545455,-0.46341499999999997,-0.13333299999999998,-0.0666667,d>c>a>b,2.0,3.0,1.0,0.0
-0.304348,-0.307692,0.25,-0.650655,-0.758242,-0.698113,-0.477124,0.0285714,-0.666667,-0.257143,-0.5473680000000001,-0.613909,-0.345912,-0.657895,-0.272727,-0.365854,-0.266667,0.0666667,d>c>b>a,3.0,2.0,1.0,0.0
