A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,ranking,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
0.326441,0.194749,1.2222979999999999,0.126851,0.124328,-0.6254149999999999,-0.77727,-0.672511,-0.47869700000000004,-0.23066599999999998,0.080577,0.06740700000000001,1.167938,-0.13122799999999998,0.026163,-0.790578,g>p>f>i>h>e>d>b>o>l>n>c>a>k>j>m,12.0,7.0,11.0,6.0,5.0,2.0,0.0,4.0,3.0,14.0,13.0,9.0,15.0,10.0,8.0,1.0
-0.221077,0.18529,-2.749752,0.37416,0.090349,1.239475,2.68686,2.026885,1.775268,1.770876,2.190641,1.584474,-0.6981850000000001,1.981063,1.7306689999999998,-0.13292400000000001,m>n>k>l>h>o>e>i>f>a>d>j>b>c>p>g,9.0,12.0,13.0,10.0,6.0,8.0,15.0,4.0,7.0,11.0,2.0,3.0,0.0,1.0,5.0,14.0
-0.586088,1.250974,-1.121258,1.060092,1.1436959999999998,-1.1433959999999999,-0.472666,-0.434287,-0.147448,1.460167,-0.362563,-0.060064,-1.256866,-0.151358,0.246905,-0.210531,n>d>i>f>h>m>e>c>a>o>k>p>b>l>j>g,8.0,12.0,7.0,1.0,6.0,3.0,15.0,4.0,2.0,14.0,10.0,13.0,5.0,0.0,9.0,11.0
-0.586088,-1.8861720000000002,-0.44310299999999997,-1.735898,-1.6507880000000001,3.151166,2.8122849999999997,1.199446,0.54155,2.413971,4.76031,-0.34985900000000003,-0.223079,-0.372332,-0.89679,0.773942,n>d>o>k>j>e>a>m>l>b>c>p>g>i>h>f,6.0,9.0,10.0,1.0,5.0,15.0,12.0,14.0,13.0,4.0,3.0,8.0,7.0,0.0,2.0,11.0
-0.586088,0.91046,-1.8363189999999998,0.948103,0.9284959999999999,-0.196276,-0.195933,0.587677,0.51505,-0.432988,-0.536801,0.494354,-0.9331799999999999,0.539471,0.502841,1.570084,b>c>e>h>f>p>i>l>j>d>m>a>o>k>n>g,11.0,0.0,1.0,9.0,2.0,4.0,15.0,3.0,6.0,8.0,13.0,7.0,10.0,14.0,12.0,5.0
-0.586088,-1.466835,-1.6171870000000002,-1.4083299999999999,-1.320626,1.2791370000000002,0.283869,0.142242,-0.298792,0.23901,1.2206709999999998,-0.6980649999999999,-1.011069,-0.576378,-0.8214040000000001,0.327366,o>j>l>e>n>k>b>a>m>p>c>d>i>h>f>g,7.0,6.0,10.0,11.0,3.0,14.0,15.0,13.0,12.0,1.0,5.0,2.0,8.0,4.0,0.0,9.0
1.2389700000000001,-1.164156,-0.339303,-1.147023,-1.107691,1.2791370000000002,0.435175,-0.883106,-0.793751,0.965201,1.6144209999999999,-0.066196,0.195742,-0.184298,-0.402619,0.6719149999999999,o>j>e>p>k>n>a>c>g>m>d>b>i>f>l>h,6.0,11.0,7.0,10.0,2.0,13.0,8.0,15.0,12.0,1.0,4.0,14.0,9.0,5.0,0.0,3.0
-0.40358299999999997,-1.388012,-0.110945,-1.27301,-1.272206,1.9454529999999999,1.006558,0.41711499999999996,0.197934,1.521586,1.52936,-0.960752,-0.514927,-0.847678,-0.95739,-0.356379,n>j>k>o>m>l>a>g>d>e>b>p>c>i>h>f,6.0,10.0,12.0,8.0,9.0,15.0,7.0,14.0,13.0,1.0,2.0,5.0,4.0,0.0,3.0,11.0
3.064029,-1.5582690000000001,0.401131,-1.437727,-1.396512,1.25534,1.9303259999999998,1.000692,-0.040565,0.36546100000000004,2.7010080000000003,-0.988828,0.616458,-1.0155809999999998,-0.965303,0.117961,o>k>l>e>a>j>b>g>p>n>m>c>d>i>f>h,4.0,6.0,11.0,12.0,3.0,14.0,7.0,15.0,13.0,5.0,1.0,2.0,10.0,9.0,0.0,8.0
-0.586088,-0.43583299999999997,0.21659899999999999,-0.563747,-0.48502700000000004,-1.6431330000000002,-1.5121040000000001,-1.738314,-1.57756,-1.4482110000000001,-0.791985,-0.724527,-0.16433,-0.820227,-0.620237,-0.9257209999999999,g>o>n>f>i>p>e>h>d>j>a>k>c>b>l>m,10.0,13.0,12.0,8.0,6.0,3.0,0.0,7.0,4.0,9.0,11.0,14.0,15.0,2.0,1.0,5.0
-0.586088,-0.5115029999999999,-1.017458,-0.5217510000000001,-0.5325979999999999,-0.450111,-0.26760500000000004,-0.800221,-0.6109020000000001,-0.313763,-0.263783,-0.316943,-0.547334,-0.317889,-0.33597899999999997,-0.342999,k>n>o>a>e>m>d>h>f>i>j>l>c>g>b>p,3.0,14.0,12.0,6.0,4.0,8.0,13.0,7.0,9.0,10.0,0.0,11.0,5.0,1.0,2.0,15.0
